,Climate,Growth,GDP_per_capita,Unemployment,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Airport_score,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Large_apartment,Medium_apartment,Small_apartment,Description,Poblacion,Cities
63,12.8,-41%,"$19,712",7%,77.95,✔ Equal,✔ Sexual orientation and gender identity,0.93,0.20,53,61,23,13,RON,$19711.63,$36.00,$0.79,$16.00,$6.20,0.16,18,0.19,0,1,40,Babeş-Bolyai University,$630,$490,$360,"Cluj-Napoca, Romania, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and taxation.","349,500",Cluj-Napoca
64,138,3%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,88,91,64,37,EUR,$45888.42,$34.00,$1.30,$110.00,$13.00,0.73,169,0.73,1,30,10,University of Cologne,$1600,$1200,$820,"Cologne, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","1,941,600",Cologne
65,127,8%,"$54,597",5%,93.13,✔ Equal,✔ Sexual orientation and gender identity,0.89,0.08,90,77,37,22,USD,$54596.65,$41.00,$2.20,$64.00,$14.00,0.13,11,0.12,12,103,16,478.04,$1500,$1200,$890,"Colorado Springs, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.","551,500",Colorado-Springs
66,72,5%,"$54,597",5%,66.79,✔ Equal,✖ No protections,0.51,0.07,135,97,81,82,USD,$54596.65,$42.00,$2.30,$65.00,$13.00,0.22,34,0.11,11,91,24,Ohio State University,$1400,$1100,$890,"Columbus, Ohio, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.
Columbus is one of the top ten city matches for 0.9% of Teleport users.","1,485,400",Columbus
67,13,8%,"$44,343",4%,93.03,✔ Equal,✔ Sexual orientation and gender identity,0.86,0.25,105,153,55,113,DKK,$44342.66,$38.00,$1.80,$76.00,$19.00,0.57,126,0.69,1,12,13,University of Copenhagen,$2300,$1700,$1200,"By Maria Rahamägi

Copenhagen is a city with a small-town vibe. The city is best explored by bike using one of the world's most developed bike-path system and its countless cafés, bars, and parks are never far away. The high standard of living, easy access to Internet, modern metro system and a thriving business environment attract talent from all over the world.
Copenhagen is one of the top ten city matches for 15.3% of Teleport users.","1,446,900",Copenhagen
68,161,-2%,"$49,195",8%,85.91,✔ Equal,Sexual orientation only,0.85,0.23,19,26,9,11,EUR,$49194.77,$52.00,$2.60,$95.00,$13.00,0.20,30,0.27,1,4,9,University College Cork,$1700,$1400,$1200,"Cork, Ireland, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","190,400",Cork
69,228,4%,"$16,096",13%,0.60,✔ Legal,✔ Legal,✔ Legal,0.42,153,130,87,107,BRL,$16096.32,$36.00,$1.30,$55.00,$5.90,0.18,23,No hay dato,21,8,52,Federal University of Paraná (UFPR),$560,$450,$350,"Curitiba, Brazil, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, environmental quality and leisure & culture.","2,049,100",Curitiba
70,136,11%,"$54,597",5%,64.44,✔ Equal,✖ No protections,0.41,0.08,265,302,141,183,USD,$54596.65,$44.00,$2.30,$76.00,$13.00,0.81,190,0.14,11,123,24,University of Texas at Dallas,$1800,$1400,$1100,"Dallas, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Dallas is one of the top ten city matches for 6.0% of Teleport users.","6,484,300",Dallas
71,12.5,34%,"$2,667",No hay dato,26.32,✔ Equal,✖ No protections,0.31,0.18,10,21,4,5,TZS,$2666.71,$88.00,$1.20,$32.00,$5.20,0.19,25,0.11,33,1,No hay dato,No hay dato,$1400,$920,$480,"Dar es Salaam, Tanzania, differentiates itself with low living costs. This urban area is consistently ahead in housing.","2,730,200",Dar-es-Salaam
72,12.6,10%,"$5,855",8%,24.29,✔ Equal,Ambiguous,0.40,0.06,103,91,46,61,INR,$5855.31,$36.00,$1.70,$20.00,$6.10,0.46,97,0.67,0,4,No hay dato,Indian Institute of Technology Delhi,$460,$360,$260,"Delhi, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Delhi is one of the top ten city matches for 2.5% of Teleport users.","15,703,900",Delhi
73,115,7%,"$54,597",5%,93.13,✔ Equal,✔ Sexual orientation and gender identity,0.62,0.08,276,193,99,133,USD,$54596.65,$43.00,$2.20,$110.00,$15.00,0.73,169,0.12,12,103,16,478.04,$2000,$1700,$1400,"Denver, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Denver is one of the top ten city matches for 4.1% of Teleport users.","2,484,200",Denver
74,105,7%,"$54,597",5%,93.13,✔ Equal,✔ Sexual orientation and gender identity,0.74,0.06,91,111,27,43,USD,$54596.65,$35.00,$1.90,$51.00,$9.90,0.16,17,0.12,8,52,16,478.04,$1300,$1000,$800,"Des Moines, Iowa, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.","409,200",Des-Moines
75,76,-3%,"$54,597",5%,63.24,✔ Equal,✖ No protections,0.10,0.06,308,261,156,190,USD,$54596.65,$35.00,$2.70,$49.00,$11.00,0.61,137,0.12,12,39,24,University of Michigan,$1400,$1200,$880,"Detroit, Michigan, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and leisure & culture.
Detroit is one of the top ten city matches for 0.5% of Teleport users.","4,139,400",Detroit
76,12.6,-39%,"$143,427",1%,15.48,✔ Equal,✖ No protections,0.89,No hay dato,64,34,31,42,QAR,$143426.98,$140.00,$3.80,$49.00,$11.00,0.53,116,No hay dato,0,19,49,Qatar University,$2800,$2300,$1700,"Doha, Qatar, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","678,400",Doha
77,298,1%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,62,80,61,17,EUR,$45888.42,$43.00,$0.80,$73.00,$9.80,0.16,18,0.55,1,30,10,TU Dresden,$1100,$800,$550,"Dresden, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","630,800",Dresden
78,337,12%,"$64,479",2%,23.96,N/A,✖ No protections,0.87,No hay dato,119,89,48,45,AED,$64478.67,$100.00,$2.90,$72.00,$12.00,0.90,215,No hay dato,1,22,41,American University of Sharjah,$2500,$2000,$1500,"Dubai, United Arab Emirates, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in startups, business freedom and safety.
Dubai is one of the top ten city matches for 6.9% of Teleport users.","1,907,300",Dubai
79,174,4%,"$49,195",8%,85.91,✔ Equal,Sexual orientation only,0.59,0.23,72,74,35,46,EUR,$49194.77,$49.00,$3.10,$150.00,$17.00,0.63,144,0.32,1,4,9,Trinity College Dublin,$2600,$2100,$1600,"Dublin is a city marked by its long history and rich background. The city center is compact, rich in urban greenery, and can be easily traversed on foot. Due to its great travel connections, tax incentives and relatively close time zone to the US, most of the largest American technology companies have their headquarters in Dublin. There are also over 1,200 startups in the city attracted by the acces to venture capital and high speed Internet.
Dublin is one of the top ten city matches for 4.9% of Teleport users.","1,948,500",Dublin
80,No hay dato,1%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,82,81,50,36,EUR,$45888.42,$42.00,$1.00,$81.00,$14.00,0.73,169,0.61,1,30,9,517.09,$1600,$1200,$820,"Dusseldorf, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","1,098,500",Dusseldorf
81,227.8,2%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,103,75,30,16,GBP,$39510.94,$45.00,$2.90,$81.00,$15.00,0.42,117,0.61,0,6,17,University of Edinburgh,$1700,$1400,$1100,"Edinburgh is truly steeped in history—even its New Town was built in the 18th century. It also boasts breathtaking views of a hilly scenery and proximity to nature. With a population of 465 thousand people, walkable distances and amazing public transport, you are more likely to stumble upon your friends than in any other capital. Despite its small size, Edinburgh is still the second largest financial center in the UK after London.
Edinburgh is one of the top ten city matches for 4.8% of Teleport users.","518,200",Edinburgh
82,288.2,10%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,80,95,29,43,CAD,$44843.44,$48.00,$2.40,$72.00,$15.00,0.23,38,0.15,2,31,5,University of Alberta,$1200,$1100,$980,"Edmonton, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","853,800",Edmonton
83,281,1%,"$47,355",6%,97.37,✔ Equal,✔ Sexual orientation and gender identity,0.87,0.21,98,124,53,42,EUR,$47354.53,$28.00,$1.10,$88.00,$17.00,0.39,79,0.57,1,4,10,Eindhoven University of Technology,$1500,$1200,$980,"Eindhoven, Netherlands, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Eindhoven is one of the top ten city matches for 2.7% of Teleport users.","632,800",Eindhoven
84,75,2%,"$54,597",5%,96.88,✔ Equal,✔ Sexual orientation and gender identity,0.80,No hay dato,70,49,10,9,USD,$54596.65,$41.00,$2.80,$53.00,$11.00,0.13,9,0.11,12,93,24,University of Oregon,$1500,$1100,$750,"Eugene, Oregon, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","224,300",Eugene
85,282,-2%,"$35,486",11%,0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,85,79,65,43,EUR,$35486.17,$82.00,$1.70,$41.00,$14.00,0.39,78,0.48,1,12,26,University of Florence,$1300,$1100,$790,"Florence, Italy, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","485,400",Florence
86,225,8%,"$16,096",13%,0.60,✔ Legal,✔ Legal,✔ Legal,0.42,122,135,41,57,BRL,$16096.32,$38.00,$1.30,$57.00,$6.80,0.14,12,No hay dato,21,8,52,Federal University of Santa Catarina,$680,$540,$400,"Florianopolis, Brazil, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and tolerance.","617,700",Florianopolis
87,330,7%,"$54,597",5%,93.13,✔ Equal,✔ Sexual orientation and gender identity,0.94,0.07,65,77,11,9,USD,$54596.65,$25.00,$2.30,$11.00,$44.00,0.10,2,0.12,12,103,24,Colorado State University,$1800,$1400,$1100,"Fort Collins, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","163,600",Fort-Collins
88,302,1%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,170,238,149,122,EUR,$45888.42,$51.00,$1.10,$98.00,$16.00,0.99,239,0.71,1,30,10,Goethe University Frankfurt,$1700,$1300,$960,"Frankfurt, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.
Frankfurt is one of the top ten city matches for 4.4% of Teleport users.","4,508,200",Frankfurt
89,90,-1%,"$37,390",3%,0.54,Ambiguous,✔ Legal,✖ Unrecognized,0.08,134,93,143,113,JPY,$37389.79,$82.00,$2.30,$15.00,$68.00,0.23,38,1.00,0,1,3,Kyushu University,$980,$780,$580,"Fukuoka, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.","2,786,500",Fukuoka
90,181,0%,"$25,105",10%,0.42,✖ Illegal,✔ Legal,✖ Unrecognized,0.23,77,49,40,9,PLN,$25105.40,$46.00,$0.93,$26.00,$7.70,0.27,47,0.30,0,1,14,Gdańsk University of Technology,$860,$680,$510,"Gdansk, Poland, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and environmental quality.","537,500",Gdansk
91,44,7%,"$58,087",3%,81.79,✔ Equal,✔ Sexual orientation and gender identity,0.89,0.08,76,85,62,65,CHF,$58087.21,$120.00,$2.60,$83.00,$28.00,0.47,101,0.70,3,24,11,University of Geneva,$3500,$2800,$2100,"Geneva, Switzerland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Geneva is one of the top ten city matches for 2.8% of Teleport users.","626,900",Geneva
92,12.6,1%,3%,No hay dato,0.89,No hay dato,No hay dato,No hay dato,No hay dato,2,0.10,0.20,0.10,GIP,No hay dato,$30.00,$1.30,$8.80,$75.00,0.15,16,No hay dato,2,17,No hay dato,No hay dato,$2900,$2200,$1400,"Gibraltar, Gibraltar, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating.","26,500",Gibraltar
93,198,0%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,73,44,29,23,GBP,$39510.94,$44.00,$2.00,$64.00,$16.00,0.53,117,0.71,0,6,17,University of Glasgow,$1400,$1100,$750,"By Jaanika Jensen

Glasgow is an outgoing, friendly and international city with a historic flavor. It offers a high quality of life and a wide range of cultural activities including concerts, fairs, sports events and festivals, making it a highly sociable environment. The unpredictable weather might be a challenge for some, but as the business and cultural center of Scotland, it's an exciting choice.
Glasgow is one of the top ten city matches for 0.6% of Teleport users.","848,100",Glasgow
94,13.2,5%,"$45,986",7%,93.59,✔ Equal,✔ Sexual orientation and gender identity,0.31,0.25,60,61,37,49,SEK,$45986.38,$46.00,$1.80,$74.00,$12.00,0.27,48,0.46,1,21,19,University of Gothenburg,$1400,$1200,$960,"Gothenburg, Sweden, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","842,800",Gothenburg
95,12.8,-1%,"$40,375",10%,0.77,✔ Legal,✔ Legal,✔ Legal,0.20,20,16,16,16,EUR,$40374.53,$49.00,$1.80,$65.00,$17.00,0.70,0.10,No hay dato,3,31,19,Joseph Fourier University,$1200,$950,$700,"Grenoble, France, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in housing and healthcare.","301,800",Grenoble
96,277.1,-1%,"$17,881",4%,0.61,✔ Legal,✔ Legal,✔ Legal,0.16,177,203,74,160,MXN,$17880.51,$34.00,$0.92,$20.00,$6.10,0.25,41,0.10,11,15,41,413.57,$570,$460,$340,"Guadalajara, Mexico, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.","3,622,600",Guadalajara
97,222,5%,"$7,503",3%,80.03,✔ Equal,Sexual orientation only,0.62,0.12,82,81,54,43,GTQ,$7503.47,$67.00,$1.60,$15.00,$5.10,0.16,19,No hay dato,34,13,No hay dato,No hay dato,$720,$620,$520,"Guatemala City, Guatemala, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, taxation and tolerance.
Guatemala City is one of the top ten city matches for 0.2% of Teleport users.","2,782,300",Guatemala-City
98,200,3%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,34,53,19,16,CAD,$44843.44,$45.00,$2.50,$60.00,$14.00,0.20,28,0.12,2,31,5,Dalhousie University,$1300,$1100,$870,"Halifax, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","501,800",Halifax
99,13,1%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,96,117,102,93,EUR,$45888.42,$46.00,$1.20,$100.00,$14.00,0.43,90,0.71,1,30,9,517.09,$1600,$1300,$860,"Hamburg, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Hamburg is one of the top ten city matches for 1.1% of Teleport users.","5,978,500",Hamburg
100,296,0%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,65,63,25,15,EUR,$45888.42,$42.00,$1.10,$73.00,$10.00,0.28,50,0.85,1,30,10,Leibniz University of Hanover,$1100,$850,$650,"Hannover, Germany, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.","647,500",Hannover
101,265,-2%,"$11,950",3%,78.65,✔ Equal,✔ Sexual orientation and gender identity,0.95,No hay dato,13,0.10,0.28,0.10,CUC,$11950.00,$40.00,$1.40,$17.00,$7.90,0.21,31,0.18,1,5,No hay dato,No hay dato,$800,$630,$450,"Havana, Cuba, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.","3,939,300",Havana
102,13.3,6%,"$40,347",9%,77.55,✔ Equal,✔ Sexual orientation and gender identity,0.71,0.24,127,116,59,82,EUR,$40346.97,$59.00,$2.60,$71.00,$14.00,0.42,88,0.53,3,27,6,Aalto University,$1900,$1500,$1100,"By Minja Orava

Helsinki is a unique mix of influences from the Nordics and the East. The city center is small enough to navigate by foot but offers a thriving underground cultural scene and more than 50 annual city festivals. Finland is a world leader in clean technology and Helsinki is very environmentally conscious with 90% of all bottles and cans recycled. The society prides itself on one of the best primary and secondary education systems in the world, equal opportunity and tolerance, creating a high standard of living and welcoming environment for innovation and tech start-ups.
Helsinki is one of the top ten city matches for 3.6% of Teleport users.","1,217,600",Helsinki
103,12.5,18%,"$5,635",4%,55.27,✔ Equal,✖ No protections,0.64,0.10,62,63,61,58,VND,$5634.90,$27.00,$1.20,$7.90,$2.20,0.29,54,0.12,1,2,22,508.97,$880,$660,$440,"Ho Chi Minh City, Vietnam, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.","4,312,700",Ho-Chi-Minh-City
104,12.5,11%,"$54,722",4%,55.84,✔ Equal,✖ No protections,0.87,No hay dato,132,121,149,106,HKD,$54722.12,$82.00,$1.50,$60.00,$8.70,0.74,171,No hay dato,0,6,2,University of Hong Kong,$3700,$2900,$2000,"Hong Kong is a world financial center with low taxation rates and free trade. The city is connected by a well-developed but cheap public transportation system and offers extensive international travel connections for its large expat community. Adding its b>ease of doing business, the free public wifi, high safety rating, and unique status within China and it's no surprise that Hong Kong is a truly international city.
Hong Kong is one of the top ten city matches for 10.2% of Teleport users.","46,645,500",Hong-Kong
105,90,2%,"$54,597",5%,96.55,✔ Equal,✔ Sexual orientation and gender identity,0.56,0.04,144,125,73,25,USD,$54596.65,$58.00,$3.40,$64.00,$14.00,0.28,51,0.11,3,39,24,University of Hawai’i at Mānoa,$2600,$2100,$1600,"Honolulu, Hawaii, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and leisure & culture.","968,800",Honolulu
106,91,11%,"$54,597",5%,64.44,✔ Equal,✖ No protections,0.42,0.08,219,221,141,173,USD,$54596.65,$37.00,$2.10,$49.00,$13.00,0.75,176,0.11,11,123,24,Rice University,$1700,$1400,$1200,"Houston, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and leisure & culture.
Houston is one of the top ten city matches for 0.5% of Teleport users.","4,356,000",Houston
107,12.5,9%,"$5,855",8%,24.29,✔ Equal,Ambiguous,0.61,0.06,37,49,18,56,INR,$5855.31,$25.00,$1.40,$13.00,$3.80,0.21,32,0.56,0,4,No hay dato,No hay dato,$310,$250,$190,"Hyderabad, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety.","5,178,600",Hyderabad
108,88,6%,"$54,597",5%,72.81,✔ Equal,✖ No protections,0.64,0.07,228,196,96,133,USD,$54596.65,$35.00,$2.20,$64.00,$12.00,0.22,35,0.11,13,115,16,478.04,$1300,$1100,$860,"Indianapolis, Indiana, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, leisure & culture and tolerance.","1,515,800",Indianapolis
109,281,2%,"$46,420",6%,88.24,✔ Equal,✔ Sexual orientation and gender identity,0.79,0.20,20,23,17,8,EUR,$46420.13,$55.00,$1.40,$56.00,$12.00,0.11,6,1.00,3,30,20,University of Innsbruck,$1400,$1100,$810,"Innsbruck, Austria, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.","318,000",Innsbruck
110,12.7,8%,"$19,610",10%,0.09,Ambiguous,✔ Legal,✖ Unrecognized,0.18,237,216,165,258,TRY,$19610.44,$39.00,$1.80,$50.00,$6.30,1.00,242,0.17,2,13,43,Koç University,$670,$550,$430,"Istanbul, Turkey, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and startups.
Istanbul is one of the top ten city matches for 6.0% of Teleport users.","21,735,000",Istanbul
111,95,6%,"$54,597",5%,67.19,✔ Equal,✖ No protections,0.46,0.07,146,173,65,85,USD,$54596.65,$34.00,$2.00,$51.00,$14.00,0.19,27,0.12,12,98,16,478.04,$1300,$1200,$950,"Jacksonville, Florida, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.","1,082,500",Jacksonville
112,246,9%,"$10,641",6%,0.03,Married couples only,Varies by Region,✖ Unrecognized,0.10,354,357,221,296,IDR,$10640.90,$43.00,$2.50,$18.00,$3.90,0.33,64,0.17,1,1,51,University of Indonesia,$880,$630,$390,"Jakarta, Indonesia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.
Jakarta is one of the top ten city matches for 0.4% of Teleport users.","16,341,100",Jakarta
113,12.5,10%,"$13,046",27%,0.32,✔ Legal,✔ Legal,✔ Legal,0.14,130,183,58,90,ZAR,$13046.07,$39.00,$1.30,$60.00,$8.50,0.40,81,0.24,33,13,No hay dato,University of the Witwatersrand,$1100,$850,$650,"Johannesburg, South Africa, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living.","7,084,800",Johannesburg
114,121,4%,"$54,597",5%,72.14,✔ Equal,✖ No protections,0.27,0.08,188,184,88,131,USD,$54596.65,$45.00,$2.20,$51.00,$12.00,0.25,43,0.12,15,76,16,478.04,$1300,$1100,$790,"Kansas City, Missouri, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Kansas City is one of the top ten city matches for 2.0% of Teleport users.","1,873,100",Kansas-City
115,285,3%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,52,39,20,7,EUR,$45888.42,$43.00,$1.50,$64.00,$13.00,0.41,80,0.55,1,30,10,Karlsruhe Institute of Technology,$1100,$870,$660,"Karlsruhe, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","367,900",Karlsruhe
116,12.6,62%,"$2,376",46%,87.91,✔ Equal,✔ Sexual orientation and gender identity,0.93,0.13,34,16,13,15,NPR,$2375.58,$24.00,$2.20,$13.00,$4.00,0.21,31,No hay dato,1,1,No hay dato,No hay dato,$280,$250,$220,"Kathmandu, Nepal, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.","1,625,600",Kathmandu
117,No hay dato,1%,"$8,668",10%,71.98,✔ Equal,✔ Sexual orientation and gender identity,0.64,0.20,64,61,88,51,UAH,$8668.33,$22.00,$0.54,$10.00,$4.30,0.38,77,0.72,0,7,No hay dato,Taras Shevchenko National University of Kyiv,$620,$500,$380,"By Andrii Gorbenko

With a history going back more than 1500 years, Kiev today is an economic and industrial center of Eastern Europe. Known for its river-front location and historical landmarks, Kiev continues to develop, and boasts several international companies serving Ukraine's large domestic market. Its expansive infrastructure offers some of the cheapest metro services in Europe, there are great leisure-time opportunities and the overall cost of living is very reasonable.
Kiev is one of the top ten city matches for 4.4% of Teleport users.","3,627,600",Kiev
118,12.5,1%,"$8,609",14%,34.67,✖ Unequal,✖ No protections,0.24,0.13,23,93,12,12,JMD,$8609.28,$49.00,$1.80,$57.00,$5.20,0.16,19,No hay dato,31,8,No hay dato,No hay dato,$660,$530,$410,"Kingston, Jamaica, is characterized by reasonably priced housing. When considering your preferences, this city does not have any category with a high rating.","1,671,800",Kingston
119,97,5%,"$54,597",5%,70.00,✔ Equal,✖ No protections,0.37,0.09,94,95,27,43,USD,$54596.65,$36.00,$3.10,$48.00,$13.00,0.16,17,0.12,16,96,24,"University of Tennessee, Knoxville",$1200,$1000,$890,"Knoxville, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and internet access.","220,500",Knoxville
120,217,-1%,"$25,105",10%,0.42,✖ Illegal,✔ Legal,✖ Unrecognized,0.23,83,59,48,12,PLN,$25105.40,$35.00,$1.00,$28.00,$6.10,0.29,52,0.30,0,1,14,AGH University of Science and Technology,$860,$700,$540,"Krakow, Poland, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and leisure & culture.
Krakow is one of the top ten city matches for 0.6% of Teleport users.","822,600",Krakow
121,12.5,10%,"$24,654",3%,0.09,Married couples only,✖ Illegal (imprisonment as punishment),✖ Unrecognized,0.06,311,357,159,253,MYR,$24654.19,$43.00,$3.00,$35.00,$3.60,0.52,115,0.19,1,2,38,Universiti Putra Malaysia,$720,$610,$490,"Kuala Lumpur, Malaysia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and leisure & culture.
Kuala Lumpur is one of the top ten city matches for 0.5% of Teleport users.","6,265,700",Kuala-Lumpur
122,No hay dato,-2%,"$37,390",3%,0.54,Ambiguous,✔ Legal,✖ Unrecognized,0.08,166,90,93,32,JPY,$37389.79,$100.00,$3.00,$16.00,$83.00,0.36,71,1.00,0,1,3,Kyoto University,$1100,$900,$660,"Kyoto, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, business freedom and healthcare.","2,234,100",Kyoto
123,312,13%,"$6,031",24%,0.01,✖ Illegal,"Male illegal, female uncertain",✖ Not legal,0.05,47,65,6,17,NGN,$6031.42,$43.00,$0.97,$39.00,$6.00,0.25,42,0.10,33,2,No hay dato,No hay dato,$820,$720,$630,"Lagos, Nigeria, differentiates itself with low living costs. This urban area is consistently ahead in housing.","9,934,700",Lagos
124,12.5,7%,"$6,221",8%,0.43,✖ Single only,✔ Legal,✖ Unrecognized,0.13,32,33,32,38,BOB,$6220.93,$27.00,$1.50,$5.80,$55.00,0.15,16,0.11,1,3,No hay dato,No hay dato,$550,$430,$300,"La Paz, Bolivia, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating.","812,800",La-Paz
125,65,3%,"$33,711",20%,0.88,✔ Legal,✔ Legal,✔ Legal,0.21,22,30,14,11,EUR,$33711.41,$43.00,$1.20,$48.00,$13.00,0.39,80,0.47,1,10,17,490.84,$910,$740,$560,"Las Palmas de Gran Canaria, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.","381,800",Las-Palmas-de-Gran-Canaria
126,211,17%,"$54,597",5%,93.13,✔ Equal,✔ Sexual orientation and gender identity,0.50,0.08,229,166,71,41,USD,$54596.65,$28.00,$1.90,$61.00,$13.00,0.59,133,0.11,14,168,16,478.04,$1200,$1000,$880,"Las Vegas, Nevada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, startups and healthcare.
Las Vegas is one of the top ten city matches for 0.3% of Teleport users.","1,953,000",Las-Vegas
127,No hay dato,6%,"$58,087",3%,81.79,✔ Equal,✔ Sexual orientation and gender identity,0.86,0.08,40,35,26,13,CHF,$58087.21,$100.00,$1.60,$84.00,$24.00,0.47,101,0.83,3,24,11,École Polytechnique Fédérale de Lausanne,$2400,$1800,$1300,"Lausanne, Switzerland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and education.","214,600",Lausanne
